Hongkong,Brasilien,Niederlande,Schweiz,Taiwan,Australien,Südkorea,Spanien,Kanada,Italien,Indien,Frankreich,Vereinigtes Königreich,Deutschland,Japan,China,USA
20,15,5,10,30,35,15,30,45,51,65,70,70,70,80,80,85
15,30,1,5,40,10,20,40,50,60,90,50,60,90,80,90,99
10,8,5,15,15,35,20,15,48,55,85,90,90,80,90,90,95
10,10,1,10,30,20,0,10,50,60,70,80,80,80,70,90,80
13,3,7,18,26,34,12,21,52,69,45,80,86,75,82,96,98
10,5,1,8,30,30,4,40,50,53,70,80,90,90,90,96,98
5,5,2,8,20,25,10,10,50,80,75,80,80,64,80,85,95
30,2,2,4,20,5,3,25,40,80,60,60,90,70,80,95,90
30,15,5,20,30,24,3,60,50,60,50,65,60,50,87,84,85
5,10,0.05,5,10,10,0.001,1,50,51,50,90,75,80,75,85,99
12,5,10,20,20,3,9,5,50,60,80,90,70,75,80,85,96
15,8,1,15,35,12,20,25,50,55,60,55,70,65,75,80,98
30,15,7,29,34,36,29,38,50,60,60,65,65,65,74,15,80
15,15,1,10,20,25,25,33,50,51,50,76,65,60,90,85,85
5,5,2,10,25,10,7,40,50,98,75,85,90,85,75,95,98
10,20,5,15,40,20,49,10,50,51,60,60,75,60,80,90,95
5,5,2,10,25,25,10,33,50,60,50,75,65,75,80,85,95
20,10,2,20,30,35,25,12,50,60,80,80,65,75,75,90,90
10,3,2,17,27,18,7,30,50,60,70,85,85,85,91,92,98
5,5,5,2,10,2,15,5,49,60,85,85,85,80,75,90,98
13,3,3,7,10,10,33,25,50,57,85,60,70,60,75,85,92
5,5,5,20,25,10,30,40,50,60,60,75,80,75,80,80,90
10,5,5,25,49.9,25,20,25,50,50.1,50,75,75,80,75,90,95
10,5,5,25,20,10,10,25,50,60,75,75,80,60,90,95,95
40,5,1,10,30,15,3,25,50,55,80,75,65,60,75,95,99
5,7,2,15,10,15,10,5,50,51,75,60,65,51,70,90,97
10,5,1,15,40,30,40,30,50,60,85,80,70,70,80,90,95
35,90,95,100,100,10,1,100,50,65,5,65,75,85,85,98,99
5,3,2,13,40,20,49,30,50,5,50,60,70,51,80,69,88.7
15,5,5,10,30,30,5,20,50,55,60,55,60,70,70,80,60
5,3,2,17,25,10,10,17,50,67,90,75,75,75,70,97,99
15,10,15,20,40,15,1,25,50,60,80,75,60,70,85,90,90
25,6,10,20,45,30,20,60,52,60,65,70,75,70,90,85,90
10,15,5,15,35,35,30,20,50,55,65,80,65,70,80,95,95
10,5,3,20,25,15,30,25,50,55,75,80,70,70,75,95,97
30,20,10,20,40,20,35,45,45,60,80,45,40,80,65,95,85
20,3,1,5,15,8,15,7,50,65,80,75,75,90,85,99,95
10,2,1,5,20,5,50,10,50,60,65,75,70,70,80,95,98
15,5,1,20,25,25,10,30,50,60,80,70,75,70,85,85,95
15,5,1,20,25,25,10,30,50,60,80,70,75,70,85,85,95
5,10,5,5,49,25,49,20,50,51,51,51,75,51,75,75,95
25,25,5,20,15,30,20,40,50,55,66,75,66,75,85,80,95
